rat,toad
1.2118381,-1.4446758
0.17586155,-0.76061684
0.6041211,-1.1792986
0.2532748,-1.1383395
0.29172122,-0.9578594
0.46004748,-0.9062646
0.46272534,-0.9000701
0.28715092,-0.8109194
0.596506,-1.2211748
0.9622557,-1.9297329
0.5316801,-0.92442214
0.27510118,-1.0038697
0.10199992,-1.6274275
0.62186646,-1.2473732
0.66900134,-1.0691444
0.33370548,-1.6744869
0.636336,-1.4769665
1.2474334,-1.8377986
1.142388,-1.4936628
0.35522705,-0.30000636
1.2810371,-1.4332083
0.6143135,-0.99205244
0.29803622,-0.80361015
0.76082414,-1.0844232
1.1807473,-1.2703723
0.12062119,-1.4340931
1.2119856,-2.0110497
0.65341485,-1.5302222
0.7800359,-1.1969075
0.9186856,-1.4784195
0.70557725,-0.93035036
0.33388066,-1.1972784
0.62065303,-1.2718493
0.06374821,-0.9096074
0.45678705,-1.7645038
0.93927157,-1.46021
0.73813486,-0.92624164
0.8752186,-0.9637622
0.07647627,-1.1230075
0.55214894,-0.9940737
0.2712472,-0.97001857
0.9207064,-0.8078265
0.5702112,-0.843128
0.8886589,-1.7883842
0.7122495,-1.278941
0.701344,-1.3778821
1.0134817,-1.4965553
0.8770017,-1.0825995
0.40681493,-0.9924135
1.1902642,-1.2513946
0.37123996,-1.692748
0.4221735,-1.4112531
0.585334,-1.2077026
0.66852075,-1.085338
1.3255895,-1.4381162
0.4655037,-0.9242851
0.4160713,-0.9242309
0.35475504,-1.538764
0.70127344,-1.4414934
0.83219147,-1.3249987
1.2682106,-1.5770979
0.64204586,-1.2233919
0.29246086,-0.6823417
0.48356414,-0.8235196
1.3426449,-1.817615
0.29636508,-1.1150516
0.68724245,-0.7435177
0.45608985,-1.3855723
1.097348,-1.5111319
0.47779447,-1.5488558
0.67770344,-1.0444545
0.17515069,-1.4626598
0.5577748,-1.9800457
0.92940366,-0.85849845
0.36098593,-1.0547639
0.47669244,-0.86451226
0.7540474,-1.0960898
0.57095635,-1.226515
0.55540407,-1.3033274
0.33808064,-1.1854541
0.86822474,-1.2112753
1.2910278,-1.3138242
1.1208243,-1.8433627
0.55409575,-1.1750689
0.48359305,-1.3732584
0.7557372,-1.3557775
0.5115699,-0.8499334
0.6670285,-1.4329938
0.7209385,-2.4437609
0.70586133,-1.7986172
0.5329786,-1.9737405
0.4288817,-0.7547836
0.15329538,-0.9539771
0.5095769,-1.554198
0.60154754,-1.1240793
1.9934225,-1.9272289
0.13670969,-1.5166552
0.20597579,-1.7261192
0.18909705,-0.860876
0.87851137,-0.7705081
0.14007689,-0.7929098
0.81810004,-1.4421178
0.5359319,-1.1731716
1.4866558,-1.8593409
0.4247455,-1.2047615
0.2469046,-1.1085019
1.0958515,-1.4855627
0.5221697,-0.776302
0.8587208,-1.3375931
0.73841786,-1.2185878
0.4211973,-0.97430146
0.16371387,-0.8569393
0.4352225,-1.0829875
0.7597531,-1.395754
0.5828561,-1.1115577
1.0085342,-1.479417
0.46365362,-0.29215297
0.7132791,-0.7344928
0.62035227,-1.2017562
0.23443721,-0.58137244
